"92","California Sunshine","0","large","Chesnik, J.","chesnik-j","1985","Bright yellow self, as the name suggests.","33","7","t","s","e,m","5.00","1","8"
"93","Caliphs Robes","0","large","Munson, R.W.","munson-r-w","1981","A mauve flower with a plum eyezone and a yellow throat. The sepals are paler than the petals.","28","6","t","e","m","4.50","1","8"
"94","Call Girl","0","large","Peck","peck","1980","Frilly, round and ruffled flowers from 'Dance Ballerina Dance' breeding. The colour is a sparkling melon to apricot.","27","6","t","d","m","4.50","1","6"
"95","Cameroons","0","large","Munson, R.W.","munson-r-w","1984","This distinctive daylily is a rich claret purple colour with a chalky pink watermark eyezone and a yellow to green throat. Sepals twist and curl attractively","28","5","t","s","m","7.00","1","9"
"96","Canadian Border Patrol","0","large","Salter","salter","1995","Ivory cream with a purple eyezone and edge. One of the best picotee edged daylilies.","28","6","t","s","e,m","9.50","0","0"
"97","Candor","0","large","Whatley","whatley","1988","A majestic, ruffled, creamy white of good substance with a large green throat. Rarely offered for sale.","28","6","t","s","m","6.50","1","6"
"98","Cantique","0","large","Bryant","bryant","1986","A fine, clear pink flower with a tiny green throat. A daylily that deserves wider recognition.","22","5","d","d","m","4.00","1","2"
"99","Cape Cod","0","large","Wild","wild","1970","A deep, wine red flower with a tangerine throat.","34","5","d","d","e,m","4.00","0","0"
"100","Caribbean Frank League","0","large","Talbott","talbott","1993","A very dark, almost black, red flower with an even darker black-red eyezone and an emerald green throat.","24","5","t","e","m","6.00","1","9"
"101","Carlotta","0","large","Millikan, B.","millikan-b","1986","A round and ruffled cherry red and pink blend.","25","5","d","s","e,m","5.00","1","8"
"102","Carrot","0","large","Brown, E.W.","brown-e-w","1985","A carrot orange flower with lighter midribs.","25","6","t","d","m","4.50","1","8"
"103","Cartwheels","0","large","Fay","fay","1956","Deep yellow flowers, the segments of which resemble the spokes of a wheel. An historic cultivar which was awarded the Stout Medal in 1966 ","30","5","d","d","m","2.50","1","10"
"104","Casino Gold ","0","large","Brooks","brooks","1991","Another good one from Bob Brooks, this sunny yellow gold flower is a sibling to 'Icy Lemon'.","32","6","t","s","m","5.50","1","9"
"105","Catherine Neal","0","large","Carpenter, J.","carpenter-j","1981","Stunning deep purple flowers of round and ruffled form. Not as late blooming here as registered but usually mid-late.","30","6","d","d","m,l","4.00","1","6"
"106","Catherine Woodbery","0","large","Childs","childs","1967","An ethereal blend of lavender, pink and cream with a pale green throat. Delicate looking and graceful.","30","6","d","d","m,l","4.00","0","0"
"107","Caviar","0","large","Moldovan","moldovan","1984","A very dark maroon red with a small yellow green throat.","26","5","t","d","m","4.00","1","10"
"108","Celestial City","0","large","Moldovan","moldovan","1990","A pastel ivory flower brushed with pale lavender and edged in white.","23","6","t","e","e","5.00","1","3"
"109","Celestial Eyes","0","large","Lambertson","lambertson","2000","A blend of cream,peach and pink with a stunning slate violet eye and matching edge.","24","6","t","s","e,m","10.00","1","8"
"110","Challenger","0","large","Stout","stout","1949","A tall, dark red daylily which was part of Dr Stout's pioneering work with this colour. ","48","5","d","e","m","4.00","1","6"
"111","Chance Encounter","0","large","Stamile","stamile","1994","An attractive and unusual shade of pink, registered as a raspberry rose blend. Petals are ruffled with a hint of a fine gold edge. Really stands out from the crowd.","25","6","t","d","e,m","9.00","0","0"
"112","Charles Johnston","0","large","Gates","gates","1983","A rounded, lightly ruffled cherry red flower with a slight bluish cast and a yellow green throat.","24","6","t","s","e,m","4.00","1","5"
"113","Charlie Pierce Memorial","0","large","Pierce","pierce","1987","A round and ruffled mauve-lavender flower with a purple eye and a green throat.","24","6","d","s","e,m","5.50","0","0"
"114","Cherry Cheeks","0","large","Peck","peck","1968","A deep cherry pink flower with a cream throat and contrasting black anthers.","28","6","t","d","m,l","3.00","1","2"
