135,Ciarra Vonnie,ciarra-vonnie,2013,1,Reinke,reinke,1994,A salmon gold blend with a striking burgundy eyezone and a green yellow throat.,30,6.5,1,2,m,5,1,10
136,Civil Law,civil-law,2014,1,"Millikan, B.",millikan-b,1990,Ruffled flowers that are a blend of cream and greenish yellow.,26,4.5,1,2,m,4,1,10
137,Civil Rights,civil-rights,2012,1,"Millikan, B.",millikan-b,1988,Pale yellow green flower with a deep green throat.,28,4.5,1,2,m,4,1,7
138,Classic Edge,classic-edge,2015,1,Stamile,stamile,1998,Mauve pink with a purple eye and edge and a yellow to green throat.,26,5.5,2,1,m,8,1,7
139,Comanche Eyes,comanche-eyes,2014,1,Guidry,guidry,1985,A pink and cream bicolour with a rose eyezone and a yellow throat.,24,6,1,1,e,5,1,8
140,Concord,concord,2014,1,Kennedy,kennedy,1985,"This flower is a most attractive and unusual mauve purple colour, described as mulberry rose. The form is round, ruffled and recurved. Very rare.\r\n*Although registered as evergreen, we have found it to be dormant here.",30,5.5,2,1,m,6,0,0
141,Condilla,condilla,2014,1,Grooms,grooms,1977,Impeccable double flowers of pure gold (that's the colour !) from this award winner.,20,4.5,1,3,"e,m",4.5,1,6
142,Cool Jazz,cool-jazz,2014,1,"Kirchhoff, D.",kirchhoff-d,1987,Pristine shell pink flowers with wide ruffled petals. In hot weather sepals are a lighter cream pink.,28,5.5,2,1,"e,m",4,1,8
143,Corinthian Pink,corinthian-pink,2012,1,Stamile,stamile,1996,A very large pink flower with a narrow rose pink eye and a yellow green throat.,26,7.25,2,3,"e,m",7,1,9
144,Country Melody,country-melody,2014,1,Klehm,klehm,1987,A delightful rich rose pink flower with a soft yellow halo. The form is round with neat ruffled edges on the petals.,30,5.5,2,3,m,4,1,5
145,Court Magician,court-magician,2014,1,"Munson, R.W.",munson-r-w,1987,A wide ruffled flower of lavender purple with a chalky cream eyezone and a yellow to green throat.,26,5,2,1,"e,m",5.5,1,8
146,Crayola Violet,crayola-violet,2012,1,Stamile,stamile,1990,"A rounded,violet purple flower with a green throat.",27,5,1,3,m,5,0,0
147,Dallas Star,dallas-star,2013,1,"Ferris, R.",ferris-r,1976,"A mauve to lilac, star shaped flower with a green throat. ",28,6.5,1,2,m,5,1,8
148,Dan Tau,dan-tau,2014,1,"Smith, W.H.",smith-w-h,1981,"Cream suffused with green, which extends out from the throat. ",24,6,1,2,e,5,1,5
149,Dance Ballerina Dance,dance-ballerina-dance,2014,1,Peck,peck,1976,Apricot pink with frills and ruffles. A milestone in breeding round and ruffled flowers.,24,6,2,3,m,4,1,9
150,Dance Fever,dance-fever,2012,1,Hite,hite,1981,An orange flower with nicely ruffled edging.,25,5,2,3,"e,m",4.5,1,10
151,Dancing Shiva,dancing-shiva,2014,1,Moldovan,moldovan,1974,A medium pink flower with a green yellow throat.,22,5,2,3,e,4,1,5
152,Daring Dilemma,daring-dilemma,2012,1,Salter,salter,1992,A mauve pink flower with a plum eye and matching edge.,24,5,2,2,m,5,0,0
153,Daring Reflection,daring-reflection,2014,1,Guidry,guidry,1986,"This dark, wine purple blend has a deeper shadow around the lime green throat. Flowers open early and hold up well throughout the day.",17,6,1,3,"e,m",4.5,1,10
154,Darrell,darrell,2014,1,Durio,durio,1981,A big beautiful flower of light creamy yellow with a green throat.,26,7,2,1,"e,m",5,1,10
155,David Kirchhoff,david-kirchhoff,2015,1,Salter,salter,1992,"Rich purple, ruffled flower edged in white with a green throat.",26,5.5,2,2,"m,l",6.5,1,8
156,Delicate Design,delicate-design,2018,1,Ferguson,ferguson,1980,A fascinating pale yellow flower with red-violet edging and matching halo. The markings can vary in intensity.,28,6,2,3,e,5.5,1,10
157,Delghtsome,delghtsome,2014,1,Sikes,sikes,1986,"Round and ruffled, clear pink blooms of silky smooth texture. One of our favourite pinks. ",16,4.75,1,3,m,5,1,8
158,Deloris Gould,deloris-gould,2013,1,Gould,gould,1992,"Rich, deep yellow with wide ruffled petals and a green throat.",25,5,2,2,"e,m",5,1,10
159,Designer Gown,designer-gown,2014,1,Sikes,sikes,1982,"This pretty lavender-pink flower has a purple eyezone, a narrow purple edge and a yellow green throat. ",29,6,2,3,m,4,1,6
160,Designer Jeans,designer-jeans,2013,1,Sikes,sikes,1983,A flower of light mauve pink with a darker eyezone and a yellow throat. Very floriferous when established.,34,6.5,2,3,m,5,1,10
